At clock#           1 :, LA = xxx, LB = xxx, RA = x, PA = 0, PB = 0
At clock#          21 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          21 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          21 :, LA = 000, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          21 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#          21 :, LA = 100, LB = 000, RA = 0, PA = 0, PB = 0
At clock#          21 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          22 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          23 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          24 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          24 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          24 :, LA = 101, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          24 :, LA = 111, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          24 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          25 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          26 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          27 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          28 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          29 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          30 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          31 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          32 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          32 :, LA = 011, LB = 111, RA = 0, PA = 0, PB = 0
At clock#          32 :, LA = 010, LB = 111, RA = 0, PA = 0, PB = 0
At clock#          32 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          33 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          34 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          35 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          35 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          35 :, LA = 010, LB = 000, RA = 0, PA = 0, PB = 0
At clock#          35 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#          35 :, LA = 000, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          35 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          36 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          37 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          38 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          38 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          38 :, LA = 110, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          38 :, LA = 110, LB = 001, RA = 0, PA = 0, PB = 0
At clock#          38 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          39 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          40 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          41 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          42 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          43 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          44 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          45 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          46 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          46 :, LA = 110, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          46 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          46 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          47 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          48 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          49 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          49 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          49 :, LA = 000, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          49 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#          49 :, LA = 100, LB = 000, RA = 0, PA = 0, PB = 0
At clock#          49 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          50 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          51 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          52 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          52 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          52 :, LA = 101, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          52 :, LA = 111, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          52 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          53 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          54 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          55 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          56 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          57 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          58 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          59 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          60 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          60 :, LA = 011, LB = 111, RA = 0, PA = 0, PB = 0
At clock#          60 :, LA = 010, LB = 111, RA = 0, PA = 0, PB = 0
At clock#          60 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          61 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          62 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          63 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          63 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          63 :, LA = 010, LB = 000, RA = 0, PA = 0, PB = 0
At clock#          63 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#          63 :, LA = 000, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          63 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          64 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          65 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          66 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          66 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          66 :, LA = 110, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          66 :, LA = 110, LB = 001, RA = 0, PA = 0, PB = 0
At clock#          66 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          67 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          68 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          69 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          70 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          71 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          72 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          73 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          74 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          74 :, LA = 110, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          74 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          74 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          75 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          76 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          77 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          77 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          77 :, LA = 000, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          77 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#          77 :, LA = 100, LB = 000, RA = 0, PA = 0, PB = 0
At clock#          77 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          78 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          79 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          80 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          80 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          80 :, LA = 101, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          80 :, LA = 111, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          80 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          81 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          82 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          83 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          84 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          85 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          86 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          87 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          88 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#          88 :, LA = 011, LB = 111, RA = 0, PA = 0, PB = 0
At clock#          88 :, LA = 010, LB = 111, RA = 0, PA = 0, PB = 0
At clock#          88 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          89 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          90 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          91 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          91 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          91 :, LA = 010, LB = 000, RA = 0, PA = 0, PB = 0
At clock#          91 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#          91 :, LA = 000, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          91 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          92 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          93 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          94 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#          94 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          94 :, LA = 110, LB = 101, RA = 0, PA = 0, PB = 0
At clock#          94 :, LA = 110, LB = 001, RA = 0, PA = 0, PB = 0
At clock#          94 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          95 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          96 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          97 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          98 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          99 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         100 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         101 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         102 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         102 :, LA = 110, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         102 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         102 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         103 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         104 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         105 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         105 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         105 :, LA = 000, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         105 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         105 :, LA = 100, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         105 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         106 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         107 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         108 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         108 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         108 :, LA = 101, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         108 :, LA = 111, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         108 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         109 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         110 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         111 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         112 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         113 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         114 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         115 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         116 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         116 :, LA = 011, LB = 111, RA = 0, PA = 0, PB = 0
At clock#         116 :, LA = 010, LB = 111, RA = 0, PA = 0, PB = 0
At clock#         116 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         117 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         118 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         119 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         119 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         119 :, LA = 010, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         119 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         119 :, LA = 000, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         119 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         120 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         121 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         122 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         122 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         122 :, LA = 110, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         122 :, LA = 110, LB = 001, RA = 0, PA = 0, PB = 0
At clock#         122 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         123 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         124 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         125 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         126 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         127 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         128 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         129 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         130 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         130 :, LA = 110, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         130 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         130 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         131 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         132 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         133 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         133 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         133 :, LA = 000, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         133 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         133 :, LA = 100, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         133 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         134 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         135 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         136 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         136 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         136 :, LA = 101, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         136 :, LA = 111, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         136 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         137 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         138 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         139 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         140 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         141 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         142 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         143 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         144 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         144 :, LA = 011, LB = 111, RA = 0, PA = 0, PB = 0
At clock#         144 :, LA = 010, LB = 111, RA = 0, PA = 0, PB = 0
At clock#         144 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         145 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         146 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         147 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         147 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         147 :, LA = 010, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         147 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         147 :, LA = 000, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         147 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         148 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         149 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         150 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         150 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         150 :, LA = 110, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         150 :, LA = 110, LB = 001, RA = 0, PA = 0, PB = 0
At clock#         150 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         151 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         152 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         153 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         154 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         155 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         156 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         157 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         158 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         158 :, LA = 110, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         158 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         158 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         159 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         160 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         161 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         161 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         161 :, LA = 000, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         161 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         161 :, LA = 100, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         161 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         162 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         163 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         164 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         164 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         164 :, LA = 101, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         164 :, LA = 111, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         164 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         165 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         166 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         167 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         168 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         169 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         170 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         171 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         172 :, LA = 011, LB = 110, RA = 0, PA = 0, PB = 0
At clock#         172 :, LA = 011, LB = 111, RA = 0, PA = 0, PB = 0
At clock#         172 :, LA = 010, LB = 111, RA = 0, PA = 0, PB = 0
At clock#         172 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         173 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         174 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         175 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         175 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         175 :, LA = 010, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         175 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         175 :, LA = 000, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         175 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         176 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         177 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         178 :, LA = 010, LB = 100, RA = 0, PA = 0, PB = 0
At clock#         178 :, LA = 010, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         178 :, LA = 110, LB = 101, RA = 0, PA = 0, PB = 0
At clock#         178 :, LA = 110, LB = 001, RA = 0, PA = 0, PB = 0
At clock#         178 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         179 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         180 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         181 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         182 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         183 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         184 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         185 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         186 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#         186 :, LA = 110, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         186 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         186 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         187 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         188 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         189 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         189 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         189 :, LA = 000, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         189 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         189 :, LA = 100, LB = 000, RA = 0, PA = 0, PB = 0
At clock#         189 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#         190 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
